Model,Accuracy,ROC_AUC,F1_Score,Precision,Recall,GMean,Training_Time_Seconds
rfc,0.6667,0.7222,0.0,0.0,0.0,0.0,12.19
xgboost,0.7333,0.7639,0.5,0.4,0.6667,0.7071,12.14
lr,0.6667,0.3611,0.2857,0.25,0.3333,0.5,6.98
mlp,0.7333,0.5278,0.3333,0.3333,0.3333,0.527,7.76
svm,0.8,0.5,0.0,0.0,0.0,0.0,0.46
