Model,Accuracy,ROC_AUC,F1_Score,Precision,Recall,GMean,Training_Time_Seconds
rfc,0.9212283044058746,0.9810949978982766,0.0,0.0,0.0,0.0,N/A
xgboost,0.9295727636849133,0.9830426694570398,0.0,0.0,0.0,0.0,N/A
rbf,0.955607476635514,0.990269914947278,0.0,0.0,0.0,0.0,N/A
