Model,Accuracy,ROC_AUC,F1_Score,Precision,Recall,GMean,Training_Time_Seconds
rfc,0.8204,0.9052,0.7954,0.814,0.7777,0.8155,0.32
xgboost,0.7527,0.8307,0.7236,0.726,0.7212,0.7492,5.78
lr,0.6235,0.6706,0.5925,0.5762,0.6097,0.6221,0.12
mlp,0.4486,0.4598,0.6194,0.4487,0.9993,0.0,41.36
svm,0.5624,0.9864,0.0493,1.0,0.0253,0.159,5.31
