Model,Accuracy,ROC_AUC,F1_Score,Precision,Recall,GMean,Training_Time_Seconds
rfc,0.6667,0.7222,0.0,0.0,0.0,0.0,0.29
xgboost,0.6667,0.5694,0.4444,0.3333,0.6667,0.6667,5.95
lr,0.6667,0.3611,0.2857,0.25,0.3333,0.5,2.32
mlp,0.6667,0.5417,0.2857,0.25,0.3333,0.5,3.14
svm,0.8,0.5,0.0,0.0,0.0,0.0,0.28
