Model,Accuracy,ROC_AUC,F1_Score,Precision,Recall,GMean,Training_Time_Seconds
rfc,0.6667,0.7222,0.0,0.0,0.0,0.0,0.4
xgboost,0.6667,0.7222,0.2857,0.25,0.3333,0.5,6.21
lr,0.6667,0.3611,0.2857,0.25,0.3333,0.5,2.1
mlp,0.6667,0.5417,0.2857,0.25,0.3333,0.5,6.56
svm,0.8,0.5,0.0,0.0,0.0,0.0,0.3
